question_id,question,type
48,Kendimi çaresiz hissetmekten korkarım.,5
49,Belirsiz durumlarla karşılaştığımda endişelenir ve önceden plan yaparım.,5
50,Sıklıkla bağımsız ve içine kapanık bir şekilde düşünürüm.,5
51,Genellikle yalnız başıma zaman geçirmek bana iyi gelir.,5
52,Önemli bir konu hakkında karar vermeden önce mutlaka bilgi toplamaya çalışırım.,5
53,Gereksiz detaylarla uğraşmak yerine temel bilgilere odaklanırım.,5
54,Bilgi edinmeyi ve yeni şeyler öğrenmeyi sürekli bir ihtiyaç olarak görürüm.,5
55,Yetersiz bilgiye sahip olmak beni rahatsız eder.,5
56,Her zaman güvenebileceğim birine ihtiyaç duyarım.,6
57,Beklenmedik durumlar beni endişelendirir.,6
58,Belirsizlik ve bilinmeyen gelecek beni huzursuz eder.,6
59,Genellikle olayların kötüye gidebileceğini düşünerek hareket ederim.,6
60,Zor zamanlarda destek istemekten çekinmem.,6
61,Planlı ve hazırlıklı olmak benim için çok önemlidir.,6
62,Yalnız karar vermekten genellikle çekinirim ve başkalarına danışırım.,6
63,Çoğu zaman risklerden kaçınmaya çalışırım.,6
64,Yakın çevremdeki insanların desteğini hissetmek beni rahatlatır.,6
65,Belirli bir karara varmadan önce detaylıca düşünür ve emin olmaya çalışırım.,6
66,Güvende olmadığımı hissettiğimde gergin ve endişeli olurum.,6
67,Yeni deneyimler yaşamak beni heyecanlandırır.,7
68,Genellikle aktivitelerimi planlamak yerine anı yaşamayı tercih ederim.,7
69,Enerjim yüksek olduğu için çok çeşitli şeylerle ilgilenmekten keyif alırım.,7
70,Rutin ve monotonluk beni çabuk bunaltır.,7
71,Hayatta her şeyi deneyimlemek ister ve yeni fırsatlar peşinde koşarım.,7
72,Genellikle spontane kararlar almayı tercih ederim.,7
73,Zamanımı sürekli yeni ve eğlenceli şeylerle doldurmaya çalışırım.,7
74,Geçmişte kaçırdığım fırsatlar için pişman olmamaya özen gösteririm.,7
75,Çalışmaktansa farklı etkinlikler yaparak meşgul olmaktan hoşlanırım.,7
76,Mutlu olmak için sık sık yeni aktivitelere katılmam gerektiğini düşünürüm.,7
77,Aynı anda birden fazla plan yapmaktan ve hepsini tamamlayamamak beni rahatsız etmez.,7
78,Kendimi güçlü ve kararlı hissetmek benim için önemlidir.,8
79,Genellikle başkaları yerine karar vermeyi tercih ederim.,8
80,Haksızlık karşısında hemen tepki gösteririm.,8
81,Çevremdeki insanlara karşı koruyucu bir tutum takınırım.,8
82,Genelde lider pozisyonunda olmaktan hoşlanırım.,8
83,Güçsüz veya kontrolsüz hissetmekten korkarım.,8
84,Duygularımı açıkça göstermekten çekinirim.,8
85,Kendi inisiyatifimi kullanarak hareket etmek beni güvenli hissettirir.,8
86,Gücümü çevreme karşı kullanmaktan çekinmem.,8
87,Karar verirken genellikle duygularımdan çok mantığımı önceliklendiririm.,8
88,Zor zamanlarda bile başkalarından yardım istemekten kaçınırım.,8
89,Ortamda huzursuzluk olmasından rahatsız olurum.,9
90,Çatışmadan kaçınmak için sık sık kendi fikirlerimi geri planda tutarım.,9
91,Çevremdekilerle uyum içinde olmaya özen gösteririm.,9
92,Sosyal gruplarda uzlaşma sağlamaktan zevk alırım.,9
93,Zaman zaman kendi istek ve ihtiyaçlarımı geri plana atarım.,9
94,Herkesin rahat ettiği bir ortam yaratmak benim için önemlidir.,9
95,Yeni bir sorumluluk aldığımda aceleci davranmaktan kaçınırım.,9
96,Harekete geçmek yerine bazen durup etrafımı gözlemlemeyi tercih ederim.,9
97,Çoğu zaman sakin kalmayı seçerek çatışma ortamından uzak dururum.,9
98,İnsanlar arasında barış ve huzur sağlamak benim doğal yeteneğimdir.,9
99,Çevremdeki insanların mutluluğu için kendi konforumdan vazgeçebilirim.,9
